steamed
crab
nacho
nachos
pork
lamb
meat
beef
chicken
fried
mushroom
garlic
shrimp
shrimps
kebab
lobster
clams
sauteed
crab
bread
roll
squid
stewed
onion
sausage
fish
bacon
bean
rice
baked
fish
pork
beef
chicken
fruit beer
sauce
noodles
noodle
mango
watermelon
papaya
tofu
non-alcoholic
cake
cow
prawns
grilled
fanta
pig
pasta
eggplant
goat
goats
