steamed
crab
pork
beef
chicken
fried
shrimp
lobster
crab
bread
roll
squid
stewed
onion
sausage
fish
bacon
bean
rice
baked
fish
pork
beef
chicken
sauce
noodles
noodle
tofu
cake
cow
prawns
grilled
pig
pasta
eggplant
bread
cattle
meat
gosht
mutton
goat
egg
bacon
octopus
boar
alligator
crocodile
quail
rib
wing
steak
boarsnail
pigeon
frog
cow
buffalo
hen
calf
veal
ostrich
snake
bird
keema
fish
tuna
sardine
crab
clam
seafood
eel
lobster
scallop
oyster
shellfish
toad
turtle
shrimp
clam
salmon
vegetable
garlic
mushroom
onion
pumpkin
sandwiches
sandwich
