Unique-Menu
Arma tu roll vegetariano
Sándwich Livianos
Pizzas gourmet
Momoka special rolls
Rolls Premium
Otras Envolturas
Avocado
Líquido
Rolls Tempura y Apanados (8 Trozos y Calientes)
Sandwiches y vienesas
Rolls Envueltos en Rainbow
Rolls Makimono Cubierto en Salmón
Rolls Mixtos
CHOICE Envuelto
Roll Semillas
Menú para peques
Tempura y Panko Rolls
Exotic Rolls
Menú Económico
Hosomaki Envuelto en Nori
Geishas
California Rolls
Fruta Rolls
Para Continuar
Para los Que No Comen Sushi
9 cortes (Cubierto de salmón fresco)
Tradiciones peruanas
Línea Normal
Nuggets de Pollo
Parrillada Menú
Hamburguesas Caseras
Promociones Lemon
Ensaladas o vegetarianos
Appetizer fríos
Sushi Envuelto en Papel Arroz
Naturista
Clásicos
Ensaladas Ruby
Rolls en Sésamo
Rolls y Platos
Aves
Envuelto en Pulpo
Bronto Lomitos
Ensalada surtida
Platos al vapor
Roll Vegetarianos ( Sésamo- ciboulette)
Quiches
Shirasi
Pollo Furay
Hand roll
Completos
Sake Roll's
Apetizzer
Hosomakis Rolls envueltos en Nori
Futomakis rolls
Sugerencias Pop
Promociones Individuales
Rolls Calientes Tempurizados (8 bocados)
Un poco más
Platos Árabes
Ensaladas y sabores del mundo
Bebidas en Lata
Especialidades del Rincón Gourmet
Degustaciones sugeridas por el chef
Carnes y pescados grille
Menú Diario
Platos Fríos (Gohan)
"Brochetas, Sopas y otros"
Uramaki furay
Uramaki Spicy
Fusión Chino Japonés
"Rolls Envueltos en Palta, Masago, Ciboulette o Queso"
Sándwiches fríos
Menu
Special Rolls 2 Sabor
¡Nuestra Carta Premium!
Empanadas fritas y de horno
Special Lemon rolls
Especialidades en Pollo
Gohans
Varios
Avocado rolls - 30% off
Rolls Envueltos en Crispy (Tempura Frío)
Promoción del día
Roll envuelto en Masago
Furay Rolls
Special Sushi Fresh
Rolls tempura
As Grande
Jugos Naturales y Bebidas
Rolls apanados
Classic rolls california
Avocado y Sake Rolls
Sándwich Light
Pan Artesanal
Colombia
Chacarero
Combinaciones principiante
¡Arma tu pizza!
Philadelphia Rolls
Sushi Noche
Zona Light Ensaladas
Fondos imperdibles
Sé un Tutto chef
Promoción Menú Premium
Del Mar
Cocina Caliente
Gastronomía peruana adicionales
Antipasto/para picar
Envueltos en panko
Pizzas Clásicas
Cena Sólo para Dos
Rolls mixtos
pizza
Envueltos en Salmón o Arcoiris de Pescado
Combos
Porciones
Sakes Rolls
Vienesas y hot dogs en pan de mesa
Fondos con vacuno
Especial palta
Bebidas Calientes
Pescados y Mariscos
Entradas o Appetizer
Akitu Sándwich Gourmet
Tempura
Extra Premium
Hamburguesa
Le Bibite
Hot Dogs
Chapsui
Comida Thai
Pastas
Menú Burreros
Ensaladas Simples
Camarones Témpura
Temaki – Hand Roll
Palitos de Ajo
Avocado rolls
Sopas
Rolls Envueltos en Palta
Boquitas para dos
Ceviches fuzion
Carne de vacuno
California Rolls (8 Trozos)
Sanguches de la casa
Rolls especialidades
Pastelería y Postres
Ases
Sándwich vegetariano
Sándwiches premium
Bebida mini
Katan Especial Rolls
Roll de la Casa
Menú hora de almuerzo
Snow Rolls
Entradas y Ensaladas
Pato
The eats salado
Picoteo caliente
Gohan frío
I. Hand rolls
"As, Hot Dog y Kabbab"
Razz mixto
Entradas y piqueos fríos
Nigiri-Sashimi
Arroz
Pizzas 2 x1
Promoción Sushi Box
Piqueos Calientes
Bokatas
Rollos envueltos en Palta
Platos y Ensaladas
Roll Envuelto en Salmón
Tempura y Furay
Sábados
Medias Pizzas 40 cm
Del mar
Rainbow
Sake rolls
Pizzas a Elección
Para beber
Wok
Razz salmón
Sugeridos
Jugos Naturales
Furay
Ingredientes extra
Pizzas a la piedra
Ceviches Peruanos
Gastronomía peruana chicharrones
Promo
Entradas de Italia
Platos Vegetarianos
Rolls Estilo California
"Mi Sushi Celebración ""E"""
Fontana para 5 o 6 Personas
Sandwiches Gourmet
Platos típicos
Rolls Especial Salmón
Masago
Las Vienesas
Burgers
Paella
Tetería
Tempura y furai
Envueltos en Palta
Pizza Renato's
Envueltos en Camarón
Sashimi y nigiri
Rolls calientes (8 piezas)
Promoción Gohan
Chaibu
Platos a pedidos
Bentobox
Menú Sushi Sabor
Bushido Hot Rolls Tempurizados
Top roll (8 piezas)
Especial Rolls ***
Platos calientes y fríos
Bebidas gaseosas
Ensaladas fuzion
Hosomakis
Califronia rolls
Special Mixtos
Hosomaki y Futomaki
Pizzas en Promoción
Rolls premium
Light Rolls
Carne de ave
Tropical Rolls
Platos Take
Locuras del chef
Prietaburger
Furay Mozzarella
Sushi Party
Hot Rolls Panko
Green rolls
Las Aves
Classic rolls envueltos en palta
Paellas
Sandwich Clubs
Creams Rolls
Rolls envueltos en palta
Para picar
Almuerzos Vegetarianos
Tory Furay Rolls
Especialidad de la Casa
Platos Españoles
Sashimis
Rolls Envueltos en Queso
Makicheese Rolls
Selección del Sensei
Aromas del Perú
Nuevos Platos
Bushido Panko Rolls
Temaki / Hand Roll
Pollos a la Brasa
Pizzas caseras a la piedra
Hosomaki
Pisco
Makimono Nori
Helados
Hot rolls panco
Otras opciones
Futomaki Rolls
Camarones Furay
Pulpos
Platos Fríos
Promo 2x1 Todos los días
Mariscos y pescados
Bocaditos para Comenzar
Nigiri Gunkan
Platos Calientes
As y vienesas
Toro Toro Sándwich Gourmet
De fondo
"Aguas, jugos y bebidas"
Kaizu te Sugiere
9 cortes (Envueltos en queso crema)
Envueltos en masa tempura
Paninis
Empanadas de Cóctel Masa Integral
Vegetarianos Rolls
Sakes
Fajitas
Arma Tu Roll
Roll´s del Chef
Panko rolls
Promocion Maki Sushi
MexPromos
Pulpo Rolls
Bebidas y acompañamientos
Platos rápidos
Gredas
Hosomakis rolls tradicional
Special's Rolls
Nigiris Frescos
Pizzas Tradicionales
Cerveza
Avocream
Sake Salmón
Comida china
Menú de niños
Platos de Fondo
Hot Roll
Pizza Now
Bronto Hamburguesas Caseras
Premium
Special Rolls Envueltos en Palta
Pizzas Especiales
Menú Niños
Agregados extra de Fajitas
Special Cheese Roll
Arma a tu gusto
Envuelto en queso crema
Sushi Moriawase
Rolls Acevichados
Futomaki & Futomaki Furay Rolls
Lasagnas
Envueltos en Queso Crema con Merquen o Ciboulette
Combinaciones*
Pitas
Rolls Especial Take
Aperitivos calientes
Toppings
Frutales
Roll Calientes
Combos Club
Chicken hot rolls
Temaki Sushi
Especialidades en Cordero
Shawarma especial
Especialidad en pollo
Combinaciones 15% OFF
Yakisoba
Entradas o Appetizers
Ramen Sopa
Tablas Pequeñas
Entradas Árabes
Papas Fritas Familiares
Olímpicos
Tablas Medianas
Appetizers calientes
"Rolls envueltos en palta, queso crema o salmón"
Cervezas Nacionales
Tablas Mochi Mochi
Bronto Churrascos
Lunes
Maki Roll
Sugerencias principiantes
Choice
Nigiri - 30% off
Ensaladas Hidropónicas
Vegetarianos
California Club Rolls
Rolls en Queso Crema
Pizzas Premium
10 cortes
Sushi Nikkei
Almuerzo
Sugerencias clásicas
Gnocchis
Rolls Envueltos en Palta o Salmón
Combinaciones de Sushi
Vegetarianos Roll
Sándwiches
Angus Premium Cuts
Furai Rolls
Empanadas al Horno
Delicias Tempurizadas
Sake Roll
Rolls envueltos en salmón (8 piezas)
Agregados Para Sándwich
Especialidades del Mundo
Pan de Ajo
Special Roll
Rincón Tradicional
Papas
Bebidas y licores
Urbano Premium
Porciones Individuales
Nigiris
Gastronomía peruana platos de fondo
Ensaladas para que no tengas que pensar
Sandwiches Vegetarianos
Especialidades Gourmand
Cortes finos de pescado
Cenas Sólo pare Dos
¡Sólo por Hoy!
Salsas de Mister Sushi
Shumai
"Bebidas, Cervezas y Aperitivos"
Almuerzo viernes
Risotto
Carne de Ave
Chancheros
Uramaki Oishi
Gyosas
Sopas y Brochetas
Frica porteña
Hot Rolls Tempura
Sándwich al Estilo 1213
Tori Rolls
Diente de Dragón
Ebi Tempura
Hosomakis (8 cortes)
Rolls vegetarianos
Clásicos de Jarana
Sushi
Exquisitos Ceviches al Estilo Peruano Japonés
Cocina Japonesa
Papel de arroz
Platos principales
