cuisine,count,sum_dishes,sff
Pizza,73,8627,italian
Sushi and rolls,93,15078,japanese
Asian,39,5732,asian
Sweet and Baking,18,995,dessert
Steaks and Grill,40,4389,
Italian,50,6090,italian
European,85,10108,western
Burgers and sandwiches,22,1306,american
Ukrainian,54,7407,ukrainian
East,33,4251,
Mexican,5,338,mexican
