cooking_words
baking
casserole
crock
pot
griddle
cooking
grilled
grilling
oven
poaching
poached
roasted
roasting
sauteed
slow
smoked
smoking
steamed
Steaming
Stewing
stewed
stir
fried
fry
tandoor
deep
sweet
sour
