Checklist
meat
pork
ham
chicken
beef
gosht
mutton
goat
egg
eggs
bacon
octopus
boar
alligator
crocodile
quail
rib
ribs
wing
wings
steak
snail
pigeon
frog
cow
buffalo
hen
calf
veal
ostrich
snake
bird
duck
poultry
keema
flesh
tuna
sardine
tilapia
salmon
crab
shrimp
shrimps
oysters
crabs
lamb
clam
seafood
fish
eel
shark
prawn
mussel
jellyfish
lobster
scallop
oyster
shellfish
fillet
toad
turtle
cod
